block_number,tx_hash,reserve,user,on_behalf_of,amount_usdc,referral_code
77056021,0x00000000000a43ef5c8c241eda31d8e394c40e3067f007681229a1e61b0904ce,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,61954.21,0
77056022,0x000000000009dcb5a602195133464cc756f840baa9150dfb03cbde72fd145297,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,35310.92,0
77056023,0x0000000000174ce58d5bbb40fd3144a5b2a7105332161039338d16ea93602dce,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,7240.03,0
77056024,0x00000000000eff374ab34cb35bd6fa5f50aa532b987b513533471610bdc92b30,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,6577.61,0
77056025,0x00000000000e618451ca66bd92e60407992cb142c9e5668b971a8de8ac0a0eee,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xF977814e90dA44bFA03b6295A0616a897441aceC,0xF977814e90dA44bFA03b6295A0616a897441aceC,5628.22,0
77056026,0x00000000001500cef260f1ef9092c22b832dea1660fa9b786a60f9deb0de8ba5,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,10371.02,0
77056027,0x00000000001609ad51f513dbaa2bd72c4e4f86be5162e5591f6149fc77c98819,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,62982.53,0
77056028,0x0000000000175aab3469f62ff016e916a2bb2b0a0cccc84889daac779d0dd734,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,32453.15,0
77056029,0x000000000013a855019f7c358afcef52de7ef747dfccd1abb66497c86f3a8987,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1680958.86,0
77056030,0x000000000005d5665b3085e62537c52ad212ffc1202ef07c592498477d9424ca,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,9915.09,0
77056031,0x0000000000178e60e32c0c2a0fbc3d040fbd5277530687f847a746cde1df81fe,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,29570.95,0
77056032,0x00000000000becf1f61fc3e6e6e95147be7f81d4d1a739a54da674a33f53ecd0,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,89586.3,0
77056033,0x0000000000049ca97588e4d62965582a763808927715056b9075ed9e0604c13e,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1407430.1,0
77056034,0x000000000007b22fc2efd98e6f4434770282b28588ca4fe6b1adca6487b6a563,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,63854.11,0
77056035,0x0000000000156a8f02ad5237cd5e5c735fd8d284de3b5ab1b1513d1f01e114b5,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,1270.6,0
77056036,0x0000000000162319e33dd94596062f656a27006328f6d10fa2984505c59e2d34,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,21554.94,0
77056037,0x000000000017050d1765e88fd10bee2ce19f5d8f67d7c497f50d95d28e6bb140,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,89563.98,0
77056038,0x000000000008f429575de05cb752c2f7615a67063160e33ac50e6f2e58929740,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,2162.97,0
77056039,0x000000000015400c23b0511bbbcce25f4140eef0da334210296b102817b43c41,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,7607.13,0
77056040,0x000000000003b553c0f40e7675ff7159236967f4afd816db8d54d80236721b68,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,3392.02,0
77056041,0x000000000015ddcaeb287bcf60f3d2ae51ad7cdf233cb93b498147431cefd9eb,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,1282.41,0
77056042,0x000000000010cb403f6f60c1d8319609c650a6e3bfa83ea2a03d49064c68615a,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,4835.7,0
77056043,0x000000000015709728aed654e1e2751a2d8090e0da04a6aebf3bb378fe271b34,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,2415.47,0
77056044,0x0000000000046d0e4f1dc885a1c58cac117868cc39650cd49db9d426730d71b8,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,44555.31,0
77056045,0x0000000000134b98f6add5e9e1f697151587643742023f45f0aba0f2f3e3f648,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,4368.76,0
77056046,0x000000000011ff1bca51b47956ada28124ae71174209fd3dc5798a1b9720bec2,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1619832.37,0
77056047,0x00000000000f1ad1e1bde0388014df8cc40a96cb3ae276bee3952a5d417fb009,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,37885.74,0
77056048,0x000000000006a11b1cbb07abadf0f590a0bd551e076bebc1a6e48437190deb36,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,1847.32,0
77056049,0x000000000016b12ecc9844be2135b3e5e8117ace6dbd42aaf146f95e6109f686,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,6018.02,0
77056050,0x00000000000421424a8fd5f46df0a44497c5af9cfd99974644bb9da4998a7580,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,3270.05,0
77056051,0x00000000000fa0cfa64b5b506413a9e32e106dbc57181f5a086cd3a65ee785f3,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x28C6c06298d514Db089934071355E5743bf21d60,0x28C6c06298d514Db089934071355E5743bf21d60,9723.18,0
77056052,0x000000000007fb4e94ea2439ad1ca2b497e3c586ba07a5f43593368ae0aa790d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,23620.94,0
77056053,0x00000000000e9582fed834f4c3b2cd8ea771cd1db9f741b23db13b17d9256ec1,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,47525.09,0
77056054,0x00000000001424bf6c55c6c527cf3df084def72f83976f896d6ad27f44baeb36,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,70464.76,0
77056055,0x0000000000160b8bbb903123fbc0883df499d6900f002532950fe648c67ab5ae,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1360406.26,0
77056056,0x00000000000e56b3017514614b1cde4d8074d0f6d7820acf75f9b352b7d221f6,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,8216.93,0
77056057,0x00000000000b960c9d5914efb2011e803bf2872403ad8e77a30fde83d436efb7,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,7987.19,0
77056058,0x0000000000049ced6a57f57d8a2df9ce6b08df90de909a0d52b6937a53ad2358,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1032757.3,0
77056059,0x000000000008228b5de77356f822d1172bc2058f9dc037014d82cae770c08e6e,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,3045.25,0
77056060,0x00000000000bea8686bf0417751cfbbd545dd100eed20dd347c5b045849eb11f,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,6984.66,0
77056061,0x0000000000122d597f43989276dc4c4043fbf7fe596e433e7651141c5e2993d2,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,67922.01,0
77056062,0x00000000001462a6c314d0b5941b488454aafcb8e92e9d56f75e2f58d4ea3b5c,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,9831.45,0
77056063,0x0000000000179a834906473bdfcbcc82e91e4705504afe3243bc4b23293873b2,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,5768.52,0
77056064,0x00000000000bb6a284589b6800fd93ba21f2ee0ab91ec8ba25d2924e003b9caf,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xF977814e90dA44bFA03b6295A0616a897441aceC,0xF977814e90dA44bFA03b6295A0616a897441aceC,2491.28,0
77056065,0x00000000000f24cac98be93b0c414bc5a83a280cfba01dd4421df5364a69edf0,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,5920.93,0
77056066,0x0000000000180826a4a2f1009388ba82fb4a993737c581b39e9c53b0eee34fbe,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,6702.69,0
77056067,0x00000000000af1a30b19439f4454471e8a20f59bbe1c5f9690290dd70ddfe6b8,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,40086.44,0
77056068,0x000000000013aa9ae3beef353352c90b30ae03c4b0662dd6e2a7f6b015fd45a9,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,0xBE0eB53F46cd790Cd13851d5EFf43D12404d33E8,2684.94,0
77056069,0x000000000010f74e356cfa48a48c37158fe0ab7c0ae27114a4b89c40768abb41,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,7220.28,0
77056070,0x00000000000c15e292442240ac0ca49197503662d866d3b0d53cd96705a9690b,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,951624.87,0
77056071,0x00000000001741f89a40876cfb118b92011c7346902158e3bcd0c738a07b6161,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,4677.81,0
77056072,0x000000000017aa2ff4b3518f852c40991469ce09f24cc076ea04a69e3ca6b8c1,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,5742.45,0
77056073,0x00000000000fb31ecee278d2f013dd700f57fe7b97e388cde3d90dd221f90d2c,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,96949.17,0
77056074,0x000000000007785a1e86a89d7a2d8600ab82b6a089f2c6042944d3ddd7f74f8e,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,53275.82,0
77056075,0x00000000000a9478fec929a03e12d4e9fe699f7746122da4759e8e30bea0af31,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,2991.16,0
77056076,0x00000000001609a646bd57c0362f870aa7b7e582523bdca48bf703f9f656860d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,1031.67,0
77056077,0x0000000000129bc44bdc8ee8750fa54d8d474fcdae04001712db835dc38f2bc1,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,66699.72,0
77056078,0x0000000000153e6c8e6a0c514aab47ede4c1096a3f0f568f796439da20c15738,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,44461.18,0
77056079,0x000000000013635ec3a35a291936b120e5356e9c793cef8caf92bd3785ac38e6,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,7614.13,0
77056080,0x00000000001571f38b5bcf19dfd07847b7270e19b028e64449a19262abc8b548,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,2740.89,0
77056081,0x00000000000729663f4c2efc38b67e2c7e19932a65c32af6ae0c84f0089eee19,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,5383.36,0
77056082,0x00000000001443a05463456a2985100f01ad4ecbc6b7ed69ca09e477e6c241e9,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,2969.98,0
77056083,0x000000000007e3ae214c077205b70e2c9b792d69e217e9d8fb327403cc956623,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,7279.52,0
77056084,0x00000000000a5fbe14fe1471fd1639da7de4a7bc895f90d6f7952acfc8b2f442,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,0x220866B1A2219f40e72f5c628B65D54268cA3A9D,1351.26,0
77056085,0x000000000004925c1e4a59058cff4ddba7319bdce2ec4bcce5ef12c8c4672d5b,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,5287.92,0
77056086,0x00000000000358b0f5c34d187601b6a7da6cc7405b4616326e0f31770587af9d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,0x267be1C1d684F78cb4F6a176C4911b741E4Ffdc0,4277.22,0
77056087,0x00000000000928416341276a8fd95cb65708ef98b51f644a5b3a95345eb03e8d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,9808.68,0
77056088,0x000000000008eacb9dccad52e37eacb7ef4e51a756b2089c90f00aab1c7081da,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,535643.74,0
77056089,0x00000000000836bf0b72a21c9ec061a6abb54ca5eefef8f6888bf96b4bc529bc,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,366529.01,0
77056090,0x00000000000b2da564a80c0baabd7033551e8cbec2965a1d4301bc4e9140002d,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x28C6c06298d514Db089934071355E5743bf21d60,0x28C6c06298d514Db089934071355E5743bf21d60,9747.87,0
77056091,0x000000000014682a84c11b015fded3e278d6f828c2bdd9ff56fc313af0ee8471,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,2807.24,0
77056092,0x000000000017fc600522778d1176dfbf5c552a0da1e8a57e72697b52381225eb,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,0x742d35Cc6634C0532925a3b8D23a8a38F2f0e3fb,6491.66,0
77056093,0x0000000000096ba905d41b5b90039cadde7290140a0a2bf66b1b7a9d9eb7eb68,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,0x47ac0Fb4F2D84898e4D9E7b4DaB3C24507a6D503,26843.84,0
77056094,0x00000000001638680e77f6060a119157548c0878a3f47303b721e28304bf1d9a,0x3c499c542cEF5E3811e1192ce70d8cC03d5c3359,0x8ba1f109551bD432803012645Haha3C39FDF732,0x8ba1f109551bD432803012645Haha3C39FDF732,1966441.03,0
